Назва,Номер реєстраційної справи,Дата публікації,Назва підприємства,Статус,Область,КОАТУУ,Суб’єкт господарювання,Назва справи:,Опис планованої діяльності:,Дата слухання,Період слухання,Перевіряючий орган,Юридична адреса суб’єкта господарювання:,"Область, де планується діяльність",Завантажені документи,Отримані документи,Категорія,Деталі категорії,Кількість категорій,lat,lon
"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""",20201155127,2020-01-16,,Оприлюдненно,Харківська область,Краснокутський р-н/смт Краснокутськ,Діденко Олена Олександрівна,"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""","Продовження видобування на Західно-Козіївському родовищі корисних копалин - вуглеводнів (нафта, супутні: газ, розчинений у нафті, конденсат, етан, пропан, бутани)",,,УЦО,"Київська область, Київ, Шевченківський р-н, пров. Несторівський , 3-5, 04053",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 16 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5127/reports/gg5H-B_mkw.pdf'}]",,2 категорія 3.1,"видобування корисних копалин, крім корисних копалин місцевого значення, які видобуваються землевласниками чи землекористувачами в межах наданих їм земельних ділянок з відповідним цільовим використанням;",1,50.12,35.11
"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""",20201155126,2020-01-16,,Оприлюдненно,Харківська область,"Богодухівський р-н/м.Богодухів
                                            Краснокутський р-н/смт Краснокутськ",Діденко Олена Олександрівна,"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""","Продовження видобування на Качалівському родовищі корисних копалин- вуглеводнів (нафта, газ розчинений у нафті, газ природний, конденсат, супутні: етан, пропан, бутани)",,,УЦО,"Київська область, Київ , Шевченківський р-н, пров. Несторівський , 3-5, 04053",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 16 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5126/reports/8xen7oceTL.pdf'}]",,2 категорія 3.1,"видобування корисних копалин, крім корисних копалин місцевого значення, які видобуваються землевласниками чи землекористувачами в межах наданих їм земельних ділянок з відповідним цільовим використанням;",1,50.05,35.33
"ТОВ «БІТОКСІД», будівництво виробничо-складського комплексу з виробництва сировини для хімічної промисловості на території м. Мерефа Харківського району Харківської області",201912205049,2019-12-23,"Товариство з обмеженою відповідальністю ""Бітоксід""",Оприлюдненно,Харківська область,Мерефа,ВАЛЕУЛІН Р.С.,"ТОВ «БІТОКСІД», будівництво виробничо-складського комплексу з виробництва сировини для хімічної промисловості на території м. Мерефа Харківського району Харківської області",Будівництво виробничо-складського комплексу з виробництва сировини для хімічної промисловості,,,УТО,"Харківська область, Харків, Плеханівська, 126/1, 61037",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 23 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5049/reports/rd-AUQJhKA.pdf'}]",,2 категорія 4.1; 2 категорія 4.2,"зберігання та переробка вуглеводневої сировини (газу природного, газу сланцевих товщ, газу, розчиненого у нафті, газу центрально-басейнового типу, газу (метану) вугільних родовищ, конденсату, нафти, бітуму нафтового, скрапленого газу); поверхневе та підземне зберігання викопного палива чи продуктів їх переробки на площі 500 квадратних метрів і більше або об’ємом (для рідких або газоподібних) 15 кубічних метрів і більше;",2,49.8,36.03
"Облаштування Ракитнянського ГКР. Реконструкція установки підготовки  газу  Ракитнянського ГКР із встановленням газових генераторів. Нововодолазький район, Харківської області",201912195037,2019-12-21,,Оприлюдненно,Харківська область,Кут,Бурдейний Тарас Олександрович,"Облаштування Ракитнянського ГКР. Реконструкція установки підготовки  газу  Ракитнянського ГКР із встановленням газових генераторів. Нововодолазький район, Харківської області",Реконструкція  УПГ  Ракитнянського  ГКР  шляхом встановлення  2-х  газопоршневих електростанцій TSU-370 TJ-NG  з   підключенням їх  до власних електричних мереж.,,,УТО,"Київська область, Київ, Рилєєва, 10 а, 04073",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 21 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5037/reports/H6K39vFMuC.pdf'}]",,2 категорія 3.1,"видобування корисних копалин, крім корисних копалин місцевого значення, які видобуваються землевласниками чи землекористувачами в межах наданих їм земельних ділянок з відповідним цільовим використанням;",1,49.88,35.89
Реконструкція птахофабрики за межами населенних пунктів  на території Борківської сільскої ради Зміївського району Харківської області,201912185029,2019-12-18,Бібов Ілля Ігорович,Оприлюдненно,Харківська область,Сільради Зміївського р-ну,БІБОВ ІЛЛЯ ІГОРОВИЧ,Реконструкція птахофабрики за межами населенних пунктів  на території Борківської сільскої ради Зміївського району Харківської області,"На птахокомплексі запланована поточно-цехова технологічна схема виробництва м’яса птиці, з допоміжними  будівлями і спорудами",,,УЦО,"Харківська область, Харків, Професорська, 34, 61070",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5029/reports/FdyG4kc52u.pdf'}]",,1 категорія 19,"потужності для інтенсивного вирощування птиці (60 тисяч місць і більше), у тому числі бройлерів (85 тисяч місць і більше), свиней (3 тисячі місць для свиней понад 30 кілограмів або 900 місць для свиноматок);",1,49.76,36.1
"ТОВ «АВАНГАРДПАК»,
Переробка полімерних відходів, у тому числі побутових",201912165010,2019-12-18,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АВАНГАРДПАК""",Оприлюдненно,Харківська область,Циркунівська/с.Циркуни,Тельний Андрій Олександрович,"ТОВ «АВАНГАРДПАК»,
Переробка полімерних відходів, у тому числі побутових","Переробка полімерних відходів, у тому числі побутових. Збільшення виробничої потужності до 3600 т/рік",,,УТО,"Харківська область, с. Циркуни, вул. Собона, 1Є, 62441",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5010/reports/1a0pGYeUzx.pdf'}]",,2 категорія 11.6,"утилізація, видалення, оброблення, знешкодження, захоронення побутових відходів;",1,50.07,36.37
"Продовження діяльності функціонування ПМ «Кегичівське ПСГ» Пролетарського ВУПЗГ, де здійснюються процеси закачування, зберігання та відбору природного газу",201912165004,2019-12-18,"ТОВ ""ПРОЕКТНО-ЕКОЛОГІЧНИЙ КОНСАЛТИНГ""",Оприлюдненно,Харківська область,Селища міського типу Кегичівського р-ну,Личкін Дмитро Олексійович,"Продовження діяльності функціонування ПМ «Кегичівське ПСГ» Пролетарського ВУПЗГ, де здійснюються процеси закачування, зберігання та відбору природного газу","Планованою діяльністю передбачається продовження діяльності функціонування ПМ «Кегичівське ПСГ» Пролетарського ВУПЗГ, де здійснюються процеси закачування, зберігання та відбору природного газу",,,УТО,"м. Київ, м.Київ, Кловський узвіз, 9/1, 01021",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5004/reports/s4sfl9xTMY.pdf'}]",,2 категорія 4.1; 2 категорія 4.2,"зберігання та переробка вуглеводневої сировини (газу природного, газу сланцевих товщ, газу, розчиненого у нафті, газу центрально-басейнового типу, газу (метану) вугільних родовищ, конденсату, нафти, бітуму нафтового, скрапленого газу); поверхневе та підземне зберігання викопного палива чи продуктів їх переробки на площі 500 квадратних метрів і більше або об’ємом (для рідких або газоподібних) 15 кубічних метрів і більше;",2,49.32,35.78
"Акціонерне товариство ""Укргазвидобування""",20191264934,2019-12-06,,Оприлюдненно,Харківська область,Балаклійський р-н/м.Балаклія,Сердюченко Олексій Володимирович,"Акціонерне товариство ""Укргазвидобування""","Здійснення оцінки впливу на довкілля проекту угоди про розподіл продукції (розподіл вуглеводнів, які видобуватимуться у межах ділянки надр Балаклійська).",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28;  тел.: (044) 461-25-49; 
факс: (044) 461-29-72",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 6 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4934/reports/2063afbe41c00a9beb1144c43592f4bb.pdf'}]",,,,0,,
"Акціонерне товариство ""Укргазвидобування""",20191264933,2019-12-06,,Оприлюдненно,Харківська область,Красноградський р-н/м.Красноград,Сердюченко Олексій Володимирович,"Акціонерне товариство ""Укргазвидобування""","Здійснення оцінки впливу на довкілля проекту угоди про розподіл продукції (розподіл вуглеводнів, які видобуватимуться у межах ділянки надр Іванівська).",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28;  тел.: (044) 461-25-49; 
факс: (044) 461-29-72",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 6 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4933/reports/9d22f3c9005abcd9dc00fd23ac837df4.pdf'}]",,,,0,,
"КП «ВОВЧАНСЬК», територія Симинівської сільської ради Вовчанського району Харківської області (за межами населених пунктів)",20191224906,2019-12-02,,Оприлюдненно,Харківська область,Червоноармійське перше,Хайло Алла Вікторівна,"КП «ВОВЧАНСЬК», територія Симинівської сільської ради Вовчанського району Харківської області (за межами населених пунктів)",Будівництво комплексу з управління комунальними відходами м. Вовчанська і Вовчанського району з використанням технології утилізації звалища твердих побутових відходів шляхом біоремедіації та компостування,,,УТО,"62503, м. Вовчанськ, вул. Короленка, 
буд. 13; адреса планованої діяльності: територія Симинівської сільської ради (штучні відпрацьовані глиняні кар’єри), 0.5 км на схід від автодороги Харків-Вовчанськ, за межами населених пунктів",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 2 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4906/reports/fe99fb26fa623ac7e93b88767e40b274.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень (виправлено)', 'Дата оприлюднення': 'Оприлюднено 2 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4906/reports/nm8T9c3slq.pdf'}, {'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 2 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4906/reports/y3tXtSYc1O.pdf'}]",,,0,50.23436298989193,36.92073243887137
Реконструкція свердловини в смт Орілька Лозівського району Харківської області,20191224903,2019-12-04,,Оприлюдненно,Харківська область,Селища міського типу Лозівського р-ну,Бикова Ганна Юріївна,Реконструкція свердловини в смт Орілька Лозівського району Харківської області,Передбачається реконструкція існуючої свердловини шляхом добуріння. Проєктна глибина свердловини 160 м,,,УЦО,чентральна части смт Орілька Лозівського району Харківської області,Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 4 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4903/reports/635f75fc2117f8cd1470df3cc5bcd883.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 14 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4903/reports/2v84Vd8JSa.pdf'}]",,,0,50.14626895673501,35.567812313103104
"ТОВ «ФОРС С», видобування підземних вод родовища «Лозовеньківське»",201911294899,2019-12-02,,Оприлюдненно,Харківська область,Київський,Бабич Євген Миколайович,"ТОВ «ФОРС С», видобування підземних вод родовища «Лозовеньківське»","Видобування підземних вод з канівсько-бучацького водоносного горизонту (св. №№ 1, 2, 3а, 4) та альб-сеноманського водоносного комплексу (св. №№ 3, 7р) на водозаборі ТОВ «ФОРС С» родовища «Лозовеньківське»",,,УТО,"61045, Харківська обл., м. Харків, вул. Отакара Яроша, буд. 18-А.
Місце провадження діяльності: північна околиця м. Харків за адресою: просп. Академіка Курчатова, 1а.",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 2 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4899/reports/b552c7d825e06709b876538845d609a8.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 28 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4899/reports/m0Qbpa63O_.pdf'}]",,,0,50.07906567524691,36.23170852661133
"АТ «Укрзалізниця», Філія «Центр будівельно-монтажних робіт та експлуатації будівель і споруд»",201911264879,2019-11-27,,Оприлюдненно,Харківська область,Харків,Конєв Віталій Васильович,"АТ «Укрзалізниця», Філія «Центр будівельно-монтажних робіт та експлуатації будівель і споруд»",Видобування питних підземних вод з Харківського родовища у м. Харків,,,УЦО,"м. Харків, Холодногірський район, вул. Є. Котляра, будинок 7",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 27 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4879/reports/4d260cf671abbe79f31cbc8bf0a0e2c3.pdf'}]",,,,0,50.012993106235385,36.316339492797965
"ПРАТ ""ПЕРВУХІНСЬКИЙ ЦУКРОВИЙ ЗАВОД""",201911264878,2019-11-27,,Оприлюдненно,Харківська область,Первухинка,Юзовицький Ігор Леонідович,"ПРАТ ""ПЕРВУХІНСЬКИЙ ЦУКРОВИЙ ЗАВОД""","Модернізація виробництва ПРАТ ""ПЕРВУХІНСЬКИЙ ЦУКРОВИЙ ЗАВОД"" за адресою 62131, Харківська обл., Богодухівський район, смт. Гути, вул. Миру, б. 29. Потужність підприємства складає: до модернізації 20 тис.т/рік,",,,УТО,"62131, Харківська обл., Богодухівський район, смт. Гути, вул. Миру, б. 29",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 27 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4878/reports/06aab6aee610766c33e3788c1d526416.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 2 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4878/reports/IME-QYjAYs.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 2 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4878/reports/ijZqDcWcoE.pdf'}, {'Назва документа': '4. Документ що підтверджує оплату', 'Дата оприлюднення': 'Оприлюднено 2 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4878/reports/j96YUD7W9A.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 27 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4878/reports/UlO_2SV7lP.pdf'}]",,,0,50.12670025793592,35.3453369140625
Журавлине ГКР в межах Деркачівсько-Войтенківської площі.,201911184825,2019-11-19,,Оприлюдненно,Харківська область,Селища міського типу Валківського р-ну,Бурдейний Тарас Олександрович,Журавлине ГКР в межах Деркачівсько-Войтенківської площі.,Cпорудження оціночно - експлуатаційної свердловини № 7 Журавлиного родовища.   Влаштування свердловини №7 Журавлиного ГКР в межах Деркачівсько-Войтенківської площі.,,,УТО,за  межами населених пунктів на території  Ков`язької селищної ради Валківського району Харківської області,Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 19 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4825/reports/75290b894a55968c2840fd8dfa849008.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 17 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4825/reports/Pi5EPtmKZl.pdf'}]",,,0,49.93890226400567,35.53367027686568
"2	Назва	ПРАТ «ВК «УКРНАФТОБУРІННЯ», спорудження, влаштування та підключення  до установок підготовки вуглеводневої сировини свердловин №№ 22, 36, 87 Сахалінського НГКР на території Краснокутського району Харківської області",201911154813,2019-11-18,,Оприлюдненно,Харківська область,Сільради Краснокутського р-ну,Дороган Віталій Вячеславович,"2	Назва	ПРАТ «ВК «УКРНАФТОБУРІННЯ», спорудження, влаштування та підключення  до установок підготовки вуглеводневої сировини свердловин №№ 22, 36, 87 Сахалінського НГКР на території Краснокутського району Харківської області","Спорудження та влаштування свердловин №№ 22, 36, 87 Сахалінського НГКР на газ і конденсат, підземні споруди. Підключення свердловин до установок підготовки вуглеводневої сировини.",,,УТО,"01010, вул. Московська, буд. 32/2, м.Київ.
Місце провадження діяльності: поза межами населених пунктів Олексіївської та Китченківської сільських рад Краснокутського району Харківської області.",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4813/reports/47d45b48927f02cd17d53d58355c11dc.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 16 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4813/reports/K691VpVBM5.pdf'}]",,,0,49.969502707949914,35.261312238405594
ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ВИРОБНИЧА ГРУПА «НОВА ОСНОВА»,201911134802,2019-11-15,,Оприлюдненно,Харківська область,Лозова,СОЛОНІЦЬКИЙ ОЛЕКСАНДР СЕРГІЙОВИЧ,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ВИРОБНИЧА ГРУПА «НОВА ОСНОВА»,Будівництво будівель та споруд для обслуговування асфальтозмішувальної установки (КДМ 2097),,,УТО,"вул. Кутова, 8, м.Лозова, Харківської області",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 15 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4802/reports/646f67c2622e8c35e946837fe2d98372.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 27 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4802/reports/_pQAtxUzs2.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 27 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4802/reports/XAYUO0pezg.pdf'}, {'Назва документа': '4. Документ що підтверджує оплату', 'Дата оприлюднення': 'Оприлюднено 27 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4802/reports/SmezgQ2rsT.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 13 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4802/reports/BHBJ4Ia4oX.pdf'}]",,,0,48.90755142132897,36.27266357684255
"АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ "" ФІЛІЯ ""ПАНЮТИНСЬКИЙ ВАГОНОРЕМОНТНИЙ ЗАВОД""",201910234702,2019-10-23,,Оприлюдненно,Харківська область,Панютине,Куник Наталія Юріївна,"АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ "" ФІЛІЯ ""ПАНЮТИНСЬКИЙ ВАГОНОРЕМОНТНИЙ ЗАВОД""","""Видобування технічних і питних підземних вод з Панютинського родовища водозабором філії ""ПАНЮТИНСЬКИЙ ВАГОНОРЕМОНТНИЙ ЗАВОД"" у смт. Панютине        м. Лозова Харківської області"".",,,УТО,"64660, Харківська область, м. Лозова, смт. Панютине, вул. Заводська, 5.",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 23 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/ce9022797825011aa874f0d128609f37.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 21 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/b5112d02390139c32ed46d2f7f4cfcbf.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 21 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/7b06c7bffe26598c3e3d3f9199a40878.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень (виправлено)', 'Дата оприлюднення': 'Оприлюднено 20 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/f1c68ff9def67bfdb136bb29e14f6e58.pdf'}, {'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 11 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/pcSl-ZmRTP.pdf'}, {'Назва документа': '2. Протокол', 'Дата оприлюднення': 'Оприлюднено 12 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/rg3qATE-N6.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 27 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/-7UvOijJMx.pdf'}, {'Назва документа': '4. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 27 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4702/reports/Vc35AeGUKD.pdf'}]",,,0,,
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",201910154663,2019-10-15,,Оприлюдненно,Харківська область,Асіївська/с.Асіївка,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Реконструкція першої ступені стиснення Червонодонецької дотискуючої компресорної станції,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 15 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4663/reports/39d511a20846a9486662655fc52e06e3.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 5 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4663/reports/22ebcbb9c0c8a45f41e6fd6200b19ba7.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 5 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4663/reports/9847388231a0bb9940f4b0d22367b8e7.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 12 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4663/reports/430ae7220edb67643b7bd4feb4ca8760.pdf'}, {'Назва документа': '2. Протокол', 'Дата оприлюднення': 'Оприлюднено 20 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4663/reports/wP-0GtnA6C.pdf'}]",,,0,,
"Нове будівництво ПЛ 330 кВ Куп’янськ – Кремінська» з перевлаштуванням ділянки ПЛ 500 кВ «Донська – Донбаська», ВРП 330 кВ на ПС 330 кВ «Куп’янськ» та ВРП 330 кВ на ПС 330 кВ «Кремінська»",20191034611,2019-10-04,,Оприлюдненно,Харківська область,Харківська обл.,СВЕТЕЛІК ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ,"Нове будівництво ПЛ 330 кВ Куп’янськ – Кремінська» з перевлаштуванням ділянки ПЛ 500 кВ «Донська – Донбаська», ВРП 330 кВ на ПС 330 кВ «Куп’янськ» та ВРП 330 кВ на ПС 330 кВ «Кремінська»","Будівництво ПЛ 330 кВ «Куп’янськ – Кремінська» з перевлаштуванням ділянки ПЛ 500 кВ «Донська – Донбаська», ВРП 330 кВ на ПС 330 кВ «Куп’янськ» та ВРП 330 кВ на ПС 330 кВ «Кремінська»",,,УЦО,Куп’янський район Харківської області та Сватівський район Луганської області,Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 4 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4611/reports/32da73ecba8bbb60b5982dd1dc2698b4.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 7 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4611/reports/26e9744939365992960fca66b07e6068.pdf'}, {'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 7 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4611/reports/aaacc5a53eda58ae967cfffe00f09108.pdf'}]",,,0,,
"Акціонерне товариство ""Укргазвидобування"" філія газопромислове управління ""Полтавагазвидобування""",20191034610,2019-10-04,,Оприлюдненно,Харківська область,Коломацький р-н/смт Коломак,Сердюченко Олексій Володимирович,"Акціонерне товариство ""Укргазвидобування"" філія газопромислове управління ""Полтавагазвидобування""",Спорудження свердловин,,,УЦО,"36008,  м. Полтава, вул. Європейська, 173",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 4 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4610/reports/c9e5f2d9df831a0a003c6ecfdaf2e5e8.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 6 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4610/reports/85a1be80a7c7e0934615906414fb893c.pdf'}]",,,0,,
